TimeStamp,PositionAfterStep,StepTime,SpeedAfterMove,DistanceAfterStep,StepNumber,AxisName
303.3150177620620000,23,0.001321640351232,151.657508881031,23,115,Y
304.6309242345560000,23.2,0.001315906472494,152.315462117278,23.2,116,Y
305.9411708155670000,23.4,0.001310246581011,152.970585407784,23.4,117,Y
307.2458299147440000,23.6,0.001304659099177,153.622914957372,23.6,118,Y
308.5449724108300000,23.8,0.001299142496086,154.272486205415,23.8,119,Y
309.8386676965930000,24,0.001293695285763,154.919333848297,24,120,Y
311.1269837220810000,24.2,0.001288316025488,155.56349186104,24.2,121,Y
312.4099870362660000,24.4,0.001283003314185,156.204993518133,24.4,122,Y
313.6877428271620000,24.6,0.001277755790896,156.843871413581,24.6,123,Y
314.9603149604720000,24.8,0.001272572133310,157.480157480236,24.8,124,Y
316.2277660168380000,25,0.001267451056366,158.113883008419,25,125,Y
317.4901573277510000,25.2,0.001262391310913,158.745078663875,25.2,126,Y
318.7475490101850000,25.4,0.001257391682434,159.373774505092,25.4,127,Y
320.0000000000000000,25.6,0.001252450989815,160,25.6,128,Y
321.2475680841800000,25.8,0.00124756808418,160.62378404209,25.8,129,Y
322.4903099319420000,26,0.001242741847762,161.245154965971,26,130,Y
323.7282811247730000,26.2,0.001237971192831,161.864140562386,26.2,131,Y
324.9615361854380000,26.4,0.001233255060665,162.480768092719,26.4,132,Y
326.1901286060020000,26.6,0.001228592420564,163.095064303001,26.6,133,Y
327.4141108748980000,26.8,0.001223982268896,163.707055437449,26.8,134,Y
328.6335345031000000,27,0.001219423628202,164.31676725155,27,135,Y
329.8484500494130000,27.2,0.001214915546313,164.924225024706,27.2,136,Y
331.0589071449370000,27.4,0.001210457095524,165.529453572468,27.4,137,Y
332.2649545167230000,27.6,0.001206047371786,166.132477258362,27.6,138,Y
333.4666400106610000,27.8,0.001201685493938,166.733320005331,27.8,139,Y
334.6640106136300000,28,0.001197370602969,167.332005306815,28,140,Y
335.8571124749330000,28.2,0.001193101861303,167.928556237467,28.2,141,Y
337.0459909270540000,28.4,0.001188878452121,168.522995463527,28.4,142,Y
338.2306905057550000,28.6,0.001184699578701,169.115345252878,28.6,143,Y
339.4112549695430000,28.8,0.001180564463788,169.705627484771,28.8,144,Y
